Date,Open,High,Low,Close,Prev_Close,Change,Percent_Change,Shares_Traded,Turnover_Cr,PE,PB,Div_Yield,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Prev_Close,VIX_Change,VIX_Percent_Change,Price_Turn,Direction,Near_Close,Near_Contracts,Near_TurnOver,Near_OI,Near_OI_Change,Next_Close,Next_Contracts,Next_TurnOver,Next_OI,Next_OI_Change,Far_Close,Far_Contracts,Far_TurnOver,Far_OI,Far_OI_Change,Week_Day,Week_Num,Trading_Days
22-Feb-2016,7208.85,7252.4,7200.7,7234.55,7210.75,23.8,0.33,159162842,5832.89,19.56,2.9,1.6,20.915,21.8625,17.4075,21.02,20.915,0.11,0.5,1,2,7240.7,141147,765871.15,18609075,-1941150,7258.25,40418,219850.82,6271200,1669650,7288.4,1000,5461.86,571950,3975,Mon,WX,20
23-Feb-2016,7240.3,7241.7,7090.7,7109.55,7234.55,-125,-1.73,200396978,6433.16,19.23,2.85,1.63,21.02,24.64,21.02,23.8375,21.02,2.82,13.4,0,2,7113.1,270895,1452309.66,14330250,-4278825,7132.7,102725,552697.86,10215750,3944550,7162.6,2181,11781.75,589800,17850,Tue,WX,20
24-Feb-2016,7075,7090.8,7009.75,7018.7,7109.55,-90.85,-1.28,205898417,6497.18,18.98,2.82,1.65,23.8375,24.815,22.1275,22.955,23.8375,-0.88,-3.7,0,2,7019.05,249884,1322698.67,11349900,-2980350,7041.65,132858,705328.99,14171850,3956100,7072.65,3298,17584.86,613275,23475,Wed,WX,20
25-Feb-2016,7029.85,7034.2,6961.4,6970.6,7018.7,-48.1,-0.69,291932544,9090.16,18.85,2.8,1.66,22.955,23.4875,22.1975,22.745,22.955,-0.21,-0.91,0,2,6968.5,244599,1282970.77,9172350,-2177550,7001.1,175263,922766.46,18663000,4491150,7032.65,3733,19751.7,667800,54525,Thu,WX,20
26-Feb-2016,7039.3,7052.9,6985.1,7029.75,6970.6,59.15,0.85,213142575,6880.96,19.01,2.82,1.65,22.745,23.145,21.19,21.865,22.745,-0.88,-3.87,0,2,7055.15,170796,902583.74,18500850,-162150,7084.1,9010,47817.03,1083975,416175,7104,5611,29877.07,389475,389475,Fri,W1,22
29-Feb-2016,7050.45,7094.6,6825.8,6987.05,7029.75,-42.7,-0.61,487969285,15992.15,18.9,2.81,1.66,21.865,22.405,19.355,20.1575,21.865,-1.71,-7.81,1,1,7008.95,413570,2175009.2,18051750,-449100,7040.05,11104,58650.67,1189875,105900,7058.4,1447,7668.89,410250,20775,Mon,W1,22
01-Mar-2016,7038.25,7235.5,7035.1,7222.3,6987.05,235.25,3.37,283561570,9896.58,19.53,2.9,1.6,20.1575,20.1575,18.4025,18.6725,20.1575,-1.49,-7.37,0,1,7229.05,236798,1273066.1,18579675,527925,7255.2,5883,31779.98,1294200,104325,7269.1,3829,20806.29,433800,23550,Tue,W1,22
02-Mar-2016,7321.7,7380.35,7308.15,7368.85,7222.3,146.55,2.03,348965708,10983.06,19.93,2.96,1.57,18.6725,19.2,17.495,18.99,18.6725,0.32,1.7,0,1,7361.55,222864,1227269.34,19947525,1367850,7388.4,5666,31316.61,1399200,105000,7398.3,3147,17410.02,465000,31200,Wed,W1,22
03-Mar-2016,7429.55,7483.95,7406.05,7475.6,7368.85,106.75,1.45,287248532,9255.43,20.22,3,1.55,18.99,19.02,17.9075,18.04,18.99,-0.95,-5,0,1,7449.55,171087,951224.76,21324300,1376775,7475,8325,46490.47,1528125,128925,7489.45,4209,23601.43,430575,-34425,Thu,W1,22
04-Mar-2016,7505.4,7505.9,7444.1,7485.35,7475.6,9.75,0.13,290441230,8135.06,20.24,3.01,1.55,18.04,18.315,17.2,17.8825,18.04,-0.16,-0.87,1,3,7460.35,157476,878360.24,22223775,899475,7487.75,5484,30705.38,1641225,113100,7505.45,1277,7164.3,460425,29850,Fri,W2,22
